0.58412,0.58412,0.58412,0.58412,0.58412,0.58412,0.58381,0.58122,0.5716,0.56193
0.58412,0.58412,0.58412,0.58412,0.58412,0.58389,0.58212,0.57327,0.55116,0.52984
0.58412,0.58412,0.58412,0.58412,0.58389,0.58212,0.57335,0.54923,0.51022,0.48201
0.58412,0.58412,0.58412,0.58389,0.58212,0.57335,0.54923,0.50883,0.46943,0.45003
0.58412,0.58412,0.58389,0.58212,0.57335,0.54923,0.50883,0.46896,0.44586,0.43862
0.58412,0.58389,0.58212,0.57335,0.54923,0.50883,0.46896,0.44579,0.43788,0.43646
0.58381,0.58212,0.57335,0.54923,0.50883,0.46896,0.44579,0.43788,0.43639,0.4362
0.58122,0.57327,0.54923,0.50883,0.46896,0.44579,0.43788,0.43639,0.4362,0.4362
0.5716,0.55116,0.51022,0.46943,0.44586,0.43788,0.43639,0.4362,0.4362,0.4362
0.56193,0.52984,0.48201,0.45003,0.43862,0.43646,0.4362,0.4362,0.4362,0.4362
