0.10114,0.10022,0.099848,0.099638,0.099531,0.09946,0.09941,0.099377,0.099356,0.099346,0.09934,0.099338,0.099335,0.099333,0.099331,0.099329,0.099328,0.099328,0.099328,0.099328
0.10243,0.1025,0.10155,0.10071,0.10023,0.099928,0.099716,0.099566,0.099465,0.099401,0.099363,0.099345,0.099337,0.099334,0.099333,0.099331,0.09933,0.099329,0.099328,0.099328
0.10601,0.10407,0.10342,0.1027,0.10201,0.10139,0.10086,0.10041,0.10004,0.099773,0.099581,0.099456,0.099384,0.099351,0.099338,0.099335,0.099333,0.09933,0.099329,0.099328
0.1124,0.10816,0.10694,0.10627,0.1056,0.10482,0.10398,0.1031,0.10226,0.10149,0.10084,0.1003,0.099877,0.099589,0.099429,0.099359,0.099338,0.099334,0.099331,0.099328
0.12596,0.11811,0.11594,0.11445,0.11337,0.11243,0.11142,0.11023,0.10888,0.10744,0.10599,0.1045,0.10302,0.10166,0.10057,0.099836,0.099464,0.09935,0.099335,0.09933
0.25953,0.21395,0.20559,0.20084,0.19916,0.19889,0.19883,0.1982,0.19645,0.19326,0.18806,0.18009,0.16898,0.15443,0.13728,0.1201,0.1064,0.10043,0.099376,0.099329
0.36513,0.3615,0.35913,0.35836,0.35793,0.35726,0.3563,0.3552,0.3543,0.35309,0.35164,0.35007,0.34659,0.33649,0.31449,0.27252,0.2104,0.16583,0.111,0.099442
0.35571,0.37618,0.38214,0.38358,0.38268,0.38081,0.37879,0.37709,0.37628,0.37512,0.37506,0.37585,0.3773,0.37996,0.38625,0.39972,0.4137,0.43442,0.30545,0.10195
0.35129,0.37241,0.38503,0.38967,0.39022,0.38868,0.38659,0.38503,0.38477,0.38455,0.38683,0.39059,0.39769,0.41697,0.45291,0.51297,0.60206,0.7375,0.99721,1
0.34855,0.36988,0.38391,0.38996,0.39164,0.39058,0.38888,0.38775,0.38764,0.38776,0.39103,0.3946,0.40355,0.43123,0.4806,0.56,0.6877,0.92428,1,1
0.34925,0.37053,0.38354,0.3881,0.38908,0.3877,0.38584,0.38476,0.38456,0.38435,0.38571,0.3896,0.39687,0.41639,0.45251,0.51312,0.60226,0.73768,0.99732,1
0.35383,0.37466,0.38075,0.38189,0.38123,0.37954,0.37772,0.37646,0.3757,0.37488,0.37426,0.37527,0.37682,0.3797,0.38609,0.40008,0.41392,0.43448,0.30541,0.10194
0.36349,0.36003,0.35785,0.35729,0.35681,0.3561,0.3553,0.35463,0.35382,0.35268,0.35077,0.34906,0.3456,0.33563,0.31382,0.27226,0.21023,0.16575,0.11098,0.099443
0.25811,0.21273,0.2045,0.1999,0.19832,0.19807,0.19802,0.19732,0.19551,0.19225,0.18712,0.17909,0.16795,0.15355,0.13666,0.11973,0.10624,0.1004,0.099374,0.09933
0.12455,0.117,0.11497,0.11355,0.11249,0.11154,0.11052,0.10934,0.10802,0.10666,0.1053,0.10395,0.10262,0.1014,0.10042,0.099776,0.09945,0.09935,0.099336,0.099331
0.11143,0.10754,0.10632,0.10554,0.10481,0.10406,0.1033,0.10253,0.1018,0.10114,0.10059,0.10014,0.099798,0.099556,0.099419,0.099358,0.099338,0.099335,0.099331,0.099329
0.10565,0.10358,0.10262,0.10188,0.10132,0.10086,0.10046,0.10013,0.099867,0.099667,0.099525,0.099431,0.099376,0.099349,0.099339,0.099335,0.099333,0.099331,0.099329,0.099328
0.10246,0.10137,0.10049,0.10005,0.099812,0.099658,0.099547,0.099466,0.09941,0.099374,0.099352,0.099341,0.099336,0.099335,0.099334,0.099332,0.09933,0.099329,0.099328,0.099328
0.10068,0.099828,0.099534,0.099436,0.099397,0.099375,0.099359,0.099349,0.099342,0.099338,0.099336,0.099335,0.099334,0.099332,0.099331,0.09933,0.099329,0.099328,0.099328,0.099328
0.099351,0.099347,0.099343,0.099341,0.09934,0.09934,0.099339,0.099338,0.099338,0.099337,0.099335,0.099333,0.099332,0.09933,0.099329,0.099328,0.099328,0.099328,0.099328,0.099328
