0.41519,0.42624,0.43963,0.4492,0.45782,0.46658,0.47567,0.48513,0.49497,0.5052,0.51583,0.52686,0.53825,0.5494,0.55736
0.4027,0.41493,0.42767,0.43396,0.4386,0.44312,0.4478,0.45265,0.45769,0.46293,0.46836,0.47399,0.47977,0.48529,0.48815
0.3833,0.40087,0.41654,0.42073,0.42203,0.42293,0.42382,0.42474,0.42569,0.42667,0.42767,0.42871,0.42975,0.43063,0.43097
0.36505,0.39051,0.41266,0.41771,0.41848,0.41864,0.41875,0.41886,0.41897,0.41909,0.41921,0.41933,0.41945,0.41955,0.41957
0.34833,0.3816,0.41056,0.4171,0.418,0.41807,0.41808,0.41809,0.4181,0.41811,0.41812,0.41812,0.41813,0.41814,0.41814
0.33276,0.37336,0.40877,0.41685,0.41795,0.41803,0.41804,0.41804,0.41804,0.41804,0.41804,0.41804,0.41804,0.41804,0.41804
0.31821,0.36564,0.40708,0.41662,0.41793,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.30461,0.35838,0.40546,0.4164,0.41792,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.29191,0.35157,0.40392,0.4162,0.4179,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.28005,0.34519,0.40245,0.416,0.41789,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.26898,0.3392,0.40105,0.4158,0.41787,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.25867,0.3336,0.39972,0.41562,0.41786,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.24909,0.32839,0.39848,0.41545,0.41784,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.24054,0.32387,0.39751,0.41533,0.41784,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
0.23428,0.3218,0.3972,0.4153,0.41784,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803,0.41803
