4,4,3.3556,2.7855,2.7726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7913,2.8332,3.6794,4,4,3.6354,2.8215,2.7909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7709,2.7676,3.3259,4,4
3.8378,4,4,3.6962,3.1561,2.819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7945,2.9823,4,4,4,4,4,3.9433,2.9014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.818,3.1318,3.6721,4,4,3.8018
2.9537,4,4,3.9936,3.6385,3.3854,2.8449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7942,2.9951,4,4,4,4,4,4,4,4,2.9285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8438,3.3635,3.6164,3.9794,4,4,2.9224
2.679,3.4377,3.9179,3.921,3.7955,3.6386,3.5653,2.8925,2.7919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9235,4,4,4,3.9557,4,4,4,4,4,3.9756,2.9001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7919,2.891,3.5438,3.6184,3.7788,3.9078,3.8992,3.4045,2.6698
2.7898,2.9299,3.6563,3.787,3.777,3.7149,3.6688,3.6934,2.9652,2.7935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8543,3.807,4,4,3.8694,3.275,3.9879,4,3.5569,3.7801,4,4,3.7379,2.8458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7935,2.9631,3.6723,3.6489,3.6966,3.7597,3.7667,3.6277,2.9236,2.7896
1,2.7935,2.9717,3.7199,3.7197,3.7062,3.6913,3.7059,3.7849,3.0664,2.7967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8133,3.4397,4,4,3.9579,3.1732,3.0737,4,4,3.4348,3.1257,3.8654,4,4,3.3716,2.8122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7966,3.0627,3.7636,3.6852,3.6719,3.6871,3.6991,3.6951,2.9681,2.7934,1
1,1,2.7929,2.9389,3.6833,3.6657,3.6686,3.6869,3.7333,3.8323,3.1808,2.8017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.798,3.0822,4,4,4,3.3175,2.8945,2.982,3.9652,4,3.4654,2.8639,3.2094,3.9884,4,4,3.069,2.7987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8016,3.1749,3.8116,3.712,3.6672,3.649,3.6451,3.6611,2.9367,2.7929,1,1
1,1,1,2.7921,2.8936,3.6055,3.6158,3.6467,3.6869,3.7431,3.83,3.2853,2.8085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.793,2.9154,3.8362,4,4,3.6146,2.8693,2.8342,2.9386,3.9176,4,3.4624,2.8227,2.8434,3.4556,4,4,3.8591,2.9283,2.7937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8082,3.2771,3.8093,3.7216,3.6671,3.6261,3.5947,3.5845,2.8922,2.7921,1,1,1
1,1,1,1,2.7915,2.859,3.5236,3.5769,3.6391,3.685,3.728,3.7805,3.3605,2.8161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8446,3.5345,4,4,3.8584,2.9653,2.8053,2.8098,2.9256,3.8789,4,3.4537,2.814,2.7932,2.9155,3.7188,4,4,3.5705,2.8578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8156,3.3489,3.7591,3.7071,3.6656,3.6174,3.5555,3.5048,2.8581,2.7915,1,1,1,1
1,1,1,1,1,1,2.8367,3.4527,3.5656,3.6431,3.6725,3.6904,3.7002,3.3919,2.8236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8137,3.2038,4,4,4,3.1712,2.8151,2.7963,2.7958,2.9106,3.8451,4,3.4626,2.828,2.7913,2.8065,3.046,3.9162,4,4,3.2604,2.8219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8224,3.3766,3.6789,3.6702,3.6534,3.6223,3.5434,3.4359,2.8362,1,1,1,1,1,1
1,1,1,1,1,1,1,2.823,3.4038,3.5901,3.6423,3.6589,3.656,3.6209,3.3927,2.84,2.7919,1,1,1,1,1,1,1,1,1,1,1,2.8024,3.0168,3.876,4,4,3.4821,2.8662,2.7945,1,2.7926,2.8969,3.8144,4,3.4881,2.8368,2.7906,2.7929,2.8364,3.2555,4,4,3.9152,3.0676,2.8075,1,1,1,1,1,1,1,1,1,1,1,2.7918,2.8385,3.3749,3.6001,3.6363,3.6395,3.6209,3.5668,3.3855,2.8223,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2.8206,3.4228,3.6432,3.6587,3.6576,3.6402,3.5731,3.4573,2.8769,2.7936,1,1,1,1,1,1,1,1,1,2.7989,2.9326,3.6364,4,4,3.7542,2.9867,2.8045,1,1,2.7923,2.8867,3.7873,4,3.5174,2.8404,1,1,2.7994,2.911,3.5231,4,4,3.7107,2.9717,2.8027,1,1,1,1,1,1,1,1,1,2.7935,2.8747,3.4405,3.5519,3.6214,3.6382,3.6378,3.6197,3.4066,2.8197,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2.8239,3.4277,3.6964,3.6794,3.6578,3.6184,3.5622,3.5208,2.9318,2.797,1,1,1,1,1,1,1,2.7994,2.8977,3.4051,4,4,3.9339,3.1894,2.8422,2.7945,1,1,1,2.8793,3.7613,4,3.5451,2.8442,1,1,1,2.8213,3.0565,3.7564,4,4,3.4993,2.9302,2.803,1,1,1,1,1,1,1,2.7967,2.9286,3.5027,3.5413,3.599,3.6384,3.659,3.6746,3.4133,2.8232,1,1,1,1,1,1,1,1,1
