2,2,2,2,2.1362,2.406,2.5925,2.7328,2.8459,2.9331,3.0062,3.0635,3.1068,3.1204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1267,3.1326,3.1436,3.517,3.5197,3.1423,3.1297,3.1236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1248,3.1324,3.1695,3.6354
2,2,2,2,2.1867,2.4257,2.5934,2.7167,2.8058,2.8742,2.9391,2.9634,3.0051,3.0702,3.1144,3.1186,1,1,1,1,1,1,1,3.1111,1,1,1,1,1,1,1,1,1,1,1,3.1241,3.134,3.1581,3.1967,3.1559,3.1543,3.2004,3.1518,3.1312,3.119,1,1,1,3.11,3.1053,3.1035,3.1074,1,1,1,1,1,1,1,1,3.11,3.1071,1,1,1,1,1,3.1072,3.1099,1,1,1,1,3.1056,1,3.1179,3.1349,3.2156,3.3127,3.174
2,2,2,2.0093,2.2768,2.4642,2.6018,2.7035,2.776,2.8233,2.8636,2.9154,2.9312,2.9519,3.0262,3.0903,3.1145,3.1123,3.111,1,1,1,3.1096,3.1076,3.1118,1,1,1,3.1067,3.1062,1,1,1,1,3.1203,3.1186,3.1076,3.1172,3.097,3.0684,3.0696,3.0985,3.1354,3.1253,3.1253,3.1152,3.1051,3.101,3.0946,3.0936,3.1015,1,1,1,1,3.1051,3.107,3.1135,3.1123,3.1052,3.0995,3.1024,3.1112,1,1,1,3.1069,3.0999,3.1009,3.1055,1,1,1,1,3.1142,3.1342,3.2102,3.3222,3.2225,3.1334
2,2,2.0513,2.2349,2.3869,2.5187,2.6224,2.7024,2.7622,2.8049,2.8321,2.8519,2.9011,2.9284,2.9426,2.9745,3.0438,3.0966,3.1111,3.1114,3.1099,3.1065,3.0991,3.0966,3.1023,1,3.1057,3.1042,3.1042,3.1061,3.1072,3.1056,3.1012,3.0919,3.073,3.0474,3.0651,3.0777,3.089,3.1175,3.1233,3.1014,3.0828,3.1025,3.1111,3.1201,3.0983,3.0763,3.0911,3.1023,1,1,1,1,1,3.1017,3.105,3.1069,3.0965,3.0874,3.0933,3.1051,3.1132,1,1,1,3.1092,3.0989,3.0893,3.0928,3.1092,1,1,3.1191,3.1346,3.2115,3.3203,3.2221,3.137,3.1254
2.2895,2.2976,2.3392,2.4123,2.4987,2.5804,2.6526,2.7124,2.76,2.796,2.8223,2.8399,2.8506,2.8989,2.9249,2.9314,2.9516,2.9926,3.041,3.0744,3.089,3.0927,3.0928,3.0922,3.0904,3.0863,3.0799,3.0723,3.0625,3.0485,3.0294,3.0094,2.9939,2.9833,2.981,3.0327,3.0858,3.1196,3.1327,3.1332,3.1326,3.1317,3.1171,3.0803,3.0913,3.1108,3.1133,3.1037,3.1038,1,1,1,1,1,3.1076,3.1001,3.0938,3.0811,3.0741,3.0865,3.1023,3.1106,1,1,1,1,1,3.1067,3.0926,3.0796,3.091,3.1106,3.1199,3.1349,3.2107,3.3182,3.227,3.1376,3.1211,1
2.5787,2.5418,2.5342,2.5552,2.5941,2.6406,2.6869,2.7293,2.7655,2.795,2.8181,2.8355,2.8486,2.858,2.9043,2.9317,2.944,2.9491,2.954,2.9672,2.9792,2.9843,2.9809,2.9707,2.9576,2.9456,2.9353,2.9324,2.9339,2.9363,2.9323,2.9331,2.9458,2.9769,3.0332,3.1064,3.1587,3.1496,1,1,1,1,3.1303,3.1146,3.0827,3.089,3.1184,3.1207,1,1,1,1,1,3.1107,3.0977,3.0749,3.0614,3.0672,3.0879,3.1044,3.1116,1,1,1,1,1,1,1,3.1095,3.0859,3.0672,3.1034,3.1336,3.2083,3.3142,3.2285,3.1383,3.1164,1,1
2.7741,2.6925,2.6638,2.6588,2.6707,2.6931,2.7205,2.7488,2.7754,2.7989,2.8187,2.8351,2.8486,2.8604,2.8733,2.9194,2.9484,2.9724,2.9777,2.9648,2.9539,2.9514,2.9495,2.9457,2.9433,2.9431,2.9407,2.9421,2.9496,2.9665,2.9867,3.0141,3.0428,3.0698,3.1159,3.1868,3.1875,3.146,1,1,1,1,1,3.1264,3.1068,3.0829,3.0899,3.1209,1,1,1,3.1097,3.1058,3.0828,3.049,3.0436,3.0675,3.0924,3.1058,3.1115,1,1,1,1,1,1,1,1,1,3.1056,3.0963,3.1247,3.2018,3.3074,3.2302,3.1405,3.117,3.1048,3.1058,1
2.9056,2.8481,2.7473,2.7316,2.7288,2.7359,2.7502,2.768,2.787,2.8054,2.8221,2.8369,2.8501,2.8625,2.8743,2.8945,2.9417,2.9769,3.0238,3.04,3.0324,3.023,3.0227,3.0292,3.0418,3.0572,3.0712,3.0828,3.0926,3.1009,3.1069,3.1113,3.1128,3.1166,3.1622,3.2173,3.1729,3.137,3.1235,1,1,1,1,3.1207,3.1217,3.0978,3.0803,3.0926,3.117,3.1132,3.1028,3.0847,3.0504,3.0246,3.0416,3.0767,3.096,3.1035,3.1082,1,1,1,1,1,3.1107,3.1083,1,1,1,3.1188,3.1324,3.1969,3.2944,3.2304,3.1427,1,1,3.1059,3.1105,1
2.9942,2.934,2.8769,2.784,2.77,2.769,2.7738,2.7848,2.7984,2.8127,2.8266,2.8398,2.8522,2.864,2.8754,2.8874,2.9178,2.9613,2.9919,3.0685,3.1028,3.1091,1,1,1,1,3.1042,3.1031,3.1038,1,1,1,3.124,3.1404,3.2008,3.2082,3.1538,1,1,1,1,1,1,1,3.1194,3.1169,3.0899,3.0794,3.0919,3.0926,3.0551,3.0276,3.0278,3.0616,3.0932,3.1036,3.1058,3.1063,3.1097,1,1,1,1,1,3.1092,3.1041,3.1035,1,3.1211,3.1345,3.1955,3.2751,3.2194,3.1423,3.1225,1,1,1,1,1
3.06,2.9737,2.9285,2.8963,2.8166,2.7884,2.7911,2.7982,2.8083,2.8197,2.8315,2.8431,2.8544,2.8653,2.8759,2.8863,2.8968,2.9317,2.9618,2.9763,3.0797,3.11,1,1,1,1,1,1,1,1,1,1,3.1276,3.1621,3.2233,3.1821,3.1395,1,1,1,1,1,1,1,1,3.1187,3.1137,3.0925,3.0853,3.0874,3.0683,3.0658,3.0917,1,1,1,1,1,1,1,1,1,1,1,3.1106,3.0981,3.1001,3.1156,3.1338,3.1902,3.2575,3.2053,3.1301,3.1036,3.1076,1,1,1,1,1
