4,4,3.4569,2.7804,2.2303,2.9897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.2806,4,4,4,4,3.283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1123,2.9396,2.0518,2.5563,3.2703,3.8693,4
3.3173,4,4,4,3.2703,2.7158,3.0893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.8431,4,4,4,4,4,4,3.8778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1173,3.0642,2.4915,3.1311,4,4,4,3.1589
2.489,4,4,4,4,3.3908,2.8706,3.0827,3.1173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.9377,4,4,4,4,4,4,4,4,3.9969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1176,3.0751,2.6827,3.2716,4,4,4,4,2.2887
2,3.3563,4,4,4,4,3.4681,2.9617,3.1107,3.1179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.4687,4,4,4,4,4,4,4,4,4,4,3.5035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1158,3.0969,2.8091,3.3566,4,4,4,4,3.171,2
2.8454,2.1666,3.4655,4,4,4,3.9551,3.495,3.0553,3.1615,3.1188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.2072,4,4,4,4,4,4,4,4,4,4,4,4,3.2142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1155,3.1064,2.9305,3.3746,3.9156,3.9849,4,4,3.3072,2.0256,2.753
3.1111,3.0643,2.566,3.4626,3.9759,3.9986,3.9596,3.8738,3.4878,3.1463,3.1855,3.1204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1129,3.0834,3.0169,3.3654,3.7922,3.9158,3.9636,3.9266,3.2976,2.3843,3.0281,3.1085
1,1,3.1079,2.9021,3.4844,3.9064,3.9669,3.9207,3.7933,3.4736,3.2008,3.1484,3.1171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5742,4,4,4,4,3.2122,4,4,4,4,3.2577,4,4,4,4,3.699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1038,3.0068,3.0645,3.3563,3.7,3.8527,3.8984,3.821,3.3188,2.7189,3.0905,1,1
1,1,1,3.1231,3.1538,3.5451,3.8821,3.9504,3.8936,3.7417,3.4653,3.2184,3.06,3.1043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.2629,4,4,4,4,3.2929,3.1503,4,4,4,4,3.1417,3.1943,4,4,4,4,3.3116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1166,3.0868,2.9066,3.0836,3.3579,3.6447,3.8101,3.8575,3.7759,3.3967,3.0062,3.1143,1,1,1
1,1,1,1,3.1269,3.2751,3.596,3.9005,3.9629,3.8804,3.7142,3.4685,3.2164,2.9619,3.0861,3.1166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3.7413,1,1,4,4,4,4,1,1,3.4665,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1171,3.0834,2.8148,3.0856,3.3669,3.6204,3.7926,3.8551,3.7944,3.4835,3.1969,3.1238,1,1,1,1
1,1,1,1,1,3.1242,3.2731,3.6184,3.94,3.9762,3.8843,3.7114,3.4847,3.2113,2.886,3.0932,3.1174,1,1,1,1,1,1,1,1,1,1,1,1,1,3.7514,4,4,4,4,3.1597,1,1,4,4,4,4,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3.115,3.0851,2.7583,3.0767,3.38,3.6129,3.7914,3.8902,3.8523,3.5416,3.2604,3.1242,1,1,1,1,1
1,1,1,1,1,1,3.1215,3.2171,3.6601,3.9818,3.9967,3.9137,3.7346,3.5129,3.2064,2.8502,3.1106,3.116,1,1,1,1,1,1,1,1,1,1,1,3.3799,4,4,4,4,3.2848,1,1,1,4,4,4,4,1,1,1,3.2069,4,4,4,4,3.5082,1,1,1,1,1,1,1,1,1,1,1,3.1119,3.0404,2.7371,3.0553,3.3852,3.6202,3.8054,3.9168,3.9186,3.5715,3.2399,3.1218,1,1,1,1,1,1
1,1,1,1,1,1,1,3.1193,3.1772,3.7189,4,4,3.9646,3.7812,3.5428,3.1983,2.8517,3.0641,3.114,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3.6985,1,1,1,1,4,4,4,4,1,1,1,1,3.4138,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3.1039,2.9164,2.7078,3.0316,3.3762,3.6402,3.8396,3.9614,3.9805,3.6355,3.1912,3.1206,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,3.1718,3.7822,4,4,4,3.8457,3.5665,3.1972,2.8434,2.9275,3.1054,1,1,1,1,1,1,1,1,3.9851,4,4,4,4,3.1956,1,1,1,1,4,4,4,4,1,1,1,1,1,3.963,4,4,4,4,1,1,1,1,1,1,1,3.1163,3.0863,2.7075,2.668,3.0309,3.3955,3.6853,3.8954,4,4,3.6923,3.1687,3.1184,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,3.172,3.8211,4,4,4,3.922,3.6238,3.2251,2.8209,2.7144,3.0901,1,1,1,1,1,1,3.7012,4,4,4,4,3.3651,1,1,1,1,1,4,4,4,4,1,1,1,1,1,3.2631,4,4,4,4,3.9212,1,1,1,1,1,3.1167,3.0764,2.4753,2.6335,3.0707,3.4558,3.7665,3.9627,4,4,3.7321,3.1678,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,3.1618,3.785,4,4,4,3.9966,3.7244,3.2954,2.8025,2.4897,3.0598,3.1082,1,1,1,1,4,4,4,4,3.8004,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,3.4923,4,4,4,4,3.7375,1,1,1,3.1048,3.0063,2.257,2.6189,3.1514,3.5633,3.8825,4,4,4,3.7251,3.1606,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,3.1461,3.6517,4,4,4,4,3.8498,3.4095,2.8141,2.2981,2.6953,2.8984,1,1,4,4,4,4,4,3.3618,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,3.6084,3.0194,2.8365,2.4577,2.0898,2.6461,3.2728,3.7101,3.9918,4,4,4,3.6408,3.1473,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,3.1327,3.4742,4,4,4,4,3.9688,3.5707,2.8982,2.1828,2,2.1477,3.7098,4,4,4,4,3.6535,1,1,1,1,1,1,1,4,4,4,4,3.3447,1,1,1,1,1,1,3.4768,4,4,4,4,3.7936,2,2,2,2.7427,3.3988,3.8634,4,4,4,4,3.5015,3.135,1,1,1,1,1,1,1,1,1,1,1,1,1
