1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3.5003,2,4,2,3.1962,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3.8863,3.0171,2.7867,2.2869,2,2,2,2,2.5354,2.9853,3.2662,4,4,4,4,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,4,4,4,4,3.3673,3.0091,2.5827,2.5788,2.5453,2.7168,4,4,3.7756,2.4715,2.3949,2.5799,2.9534,2.854,2.8736,3.6173,4,4,4,4,1,1,1,1,1,1,1
1,1,1,1,1,1,4,4,4,4,4,2.9559,2.918,2.7186,2.4374,2.7028,3.2322,4,4,4,4,4,4,3.5896,2.8668,2.5829,2.9632,3.0266,2.7966,2.787,3.0396,4,4,4,4,4,1,1,1,1
1,1,1,1,4,4,4,4,3.4245,2.6858,2.4906,2.7982,2.5943,2.8185,3.7687,4,4,4,4,1,1,1,4,4,4,3.9527,2.9564,2.947,3.1014,3.0646,2.9661,2.581,2.7044,3.4875,4,4,4,4,1,1
1,4,4,4,4,3.7715,2.746,2.4702,2.6026,2.8367,3.0738,3.065,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4,3.3157,2.9974,2.9824,3.2608,2.9518,2.5269,2.7172,3.0113,4,4,4,4
4,4,3.7569,2.8314,2.374,2.1532,2.6941,3.1406,3.1887,3.5357,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3.8692,3.1091,3.3499,3.401,2.7026,2.4689,2.3684,2.7668,4,4
4,2,2,2.3311,3.0257,3.9528,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3.8073,4,3.3202,2.525,2,2,3.3472
2,2,2.5589,3.5021,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3.4529,2.3623,2,2
