2,2,2,2,2,2.2427,2.4538,2.6136,2.7452,2.8536,2.9515,3.023,3.0897,3.1122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1212,3.1367,3.9806,3.9771,3.1382,3.1195,3.1133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.1177,3.1354,3.2531,4
2,2,2,2,2.008,2.2724,2.4617,2.6036,2.7103,2.7874,2.8628,2.8908,2.9321,3.0292,3.1021,3.111,1,1,1,1,1,3.0998,1,1,1,1,3.0938,1,1,1,1,1,1,1,1,1,3.1265,3.1676,3.2922,3.2953,3.285,3.292,3.1715,3.1232,3.1065,1,1,3.0985,3.0911,3.0857,3.0887,1,1,1,1,1,1,1,1,3.091,3.0916,1,1,1,1,3.0897,3.0951,1,1,1,1,1,3.0926,3.0869,1,3.115,3.1464,3.2984,3.4359,3.2477
2,2,2,2,2.1193,2.3258,2.4804,2.5974,2.6842,2.7436,2.7796,2.823,2.8529,2.8591,2.9486,3.053,3.1036,3.108,1,1,1,3.0936,3.0971,1,1,1,3.09,3.0905,1,1,3.1023,3.1029,3.1076,3.1131,3.1155,3.1163,3.1221,3.157,3.1689,3.1072,3.0623,3.15,3.1856,3.1444,3.1174,3.0993,3.0795,3.0779,3.0721,3.0807,3.0937,1,1,1,3.0914,3.0897,3.0974,3.0944,3.0828,3.0811,3.0926,1,1,1,1,3.083,3.0824,3.0868,3.0928,1,1,1,3.0811,3.0898,3.1098,3.1458,3.3117,3.3451,3.2917,3.134
2,2,2,2.0852,2.2519,2.3968,2.5128,2.6041,2.6741,2.7249,2.7589,2.7755,2.7984,2.8409,2.8547,2.8713,2.9672,3.0565,3.0962,3.1037,3.1032,3.1015,3.1013,3.1031,3.1048,3.1051,3.1053,3.1069,3.1073,3.1046,3.0977,3.0879,3.0763,3.0616,3.0424,3.0247,3.0448,3.1029,3.1188,3.0754,3.0482,3.0525,3.1086,3.1336,3.1229,3.1037,3.0701,3.0595,3.0844,3.0968,1,1,1,1,3.0883,3.0867,3.0849,3.0709,3.068,3.0829,3.0976,1,1,1,1,3.0844,3.0707,3.0685,3.0847,1,1,1,1,3.1078,3.1468,3.3118,3.3413,3.3021,3.1427,3.1174
2.1321,2.1502,2.2045,2.2883,2.3844,2.4747,2.555,2.6227,2.6773,2.7195,2.75,2.7722,2.7867,2.7959,2.832,2.8595,2.8546,2.8766,2.9461,3.0007,3.0373,3.0554,3.062,3.0613,3.0549,3.0432,3.0261,3.0022,2.9719,2.9417,2.9134,2.8955,2.8915,2.9015,2.9224,2.9525,3.0459,3.133,3.1504,3.1137,3.1099,3.1024,3.0666,3.0969,3.1103,3.1155,3.0962,3.097,1,1,1,1,1,3.0969,3.0837,3.0673,3.0527,3.0544,3.0746,3.09,1,1,1,1,1,3.091,3.0763,3.0532,3.0592,3.0928,1,1,3.1157,3.1487,3.3125,3.3396,3.2991,3.1414,3.1144,1
2.4562,2.4249,2.4272,2.4543,2.4984,2.5496,2.6009,2.6482,2.6893,2.7233,2.7504,2.7715,2.7879,2.8013,2.8111,2.8406,2.8675,2.8797,2.8693,2.8604,2.8616,2.8647,2.8645,2.8605,2.855,2.85,2.8504,2.8556,2.8583,2.8644,2.8645,2.8637,2.8707,2.892,2.9335,2.9939,3.1149,3.2246,3.1868,3.1298,1,3.1239,3.1187,3.0853,3.0987,3.1065,3.1175,3.1105,1,1,1,1,3.1002,3.0808,3.0455,3.0319,3.0492,3.0755,3.0907,1,1,1,1,1,1,1,3.0956,3.0727,3.0434,3.0508,3.0988,3.1145,3.1504,3.313,3.3386,3.2943,3.1409,3.1115,1,1
2.6778,2.612,2.5809,2.5783,2.5904,2.6149,2.6448,2.6761,2.7058,2.7326,2.7557,2.7753,2.7921,2.8071,2.8222,2.8385,2.8738,2.9087,2.9178,2.9018,2.8828,2.877,2.8737,2.8698,2.8636,2.8589,2.8614,2.8779,2.9049,2.9432,2.9832,3.0205,3.0514,3.0729,3.0777,3.0886,3.1789,3.2656,3.1742,3.1286,1,1,3.125,3.1216,3.0929,3.0985,3.1099,3.1174,1,1,3.1,3.0926,3.0601,3.0157,3.013,3.0485,3.078,3.092,1,1,1,1,1,1,1,1,1,3.0997,3.0584,3.0426,3.0911,3.1512,3.3099,3.3372,3.2914,3.1399,3.1017,3.095,1,1
2.824,2.7868,2.7112,2.6632,2.6606,2.6683,2.6835,2.7028,2.7236,2.7442,2.7636,2.7813,2.7976,2.8133,2.8295,2.8485,2.8754,2.921,2.9853,3.0157,3.0143,3.002,2.9973,3.002,3.0125,3.029,3.0478,3.0661,3.0801,3.0896,3.0962,3.1022,1,1,3.1173,3.1291,3.2303,3.2581,3.1544,1,1,1,1,3.1265,3.1162,3.094,3.0965,3.1116,3.1088,3.0897,3.0643,3.0192,2.99,3.0142,3.0582,3.0792,3.086,3.0913,1,1,1,1,1,1,1,1,1,1,3.0989,3.0912,3.146,3.3009,3.3333,3.2893,3.1409,3.1083,3.0886,3.0767,3.0969,1
2.9238,2.8715,2.8347,2.7735,2.7111,2.7101,2.7164,2.7256,2.7403,2.7563,2.7724,2.7881,2.8033,2.8185,2.8342,2.8517,2.8714,2.9022,2.9423,3.0405,3.093,3.1049,3.104,3.1016,1,1,1,1,1,3.0921,3.0922,1,1,1,1,3.1495,3.2614,3.2354,3.1416,1,1,1,1,1,3.1253,3.11,3.0989,3.0943,3.0963,3.0474,2.9956,3.0033,3.04,3.0783,3.091,3.0922,3.0904,3.0929,1,1,1,1,1,3.0892,3.0914,1,1,1,3.1166,3.1558,3.2953,3.324,3.2855,3.1426,3.1142,1,3.0902,3.0918,3.0923,1
2.9865,2.9332,2.883,2.8489,2.8123,2.7541,2.735,2.7442,2.755,2.7677,2.7811,2.7948,2.8087,2.8226,2.8366,2.8506,2.8639,2.8744,2.9012,2.9246,3.041,3.1027,1,1,1,1,1,1,1,1,1,1,1,1,3.1263,3.1621,3.2814,3.2104,3.134,1,1,1,1,1,3.1194,3.1232,3.1158,3.1111,3.1027,3.0782,3.0646,3.078,1,1,1,1,1,1,1,1,1,1,1,3.0878,3.0806,3.0875,1,3.1185,3.1582,3.294,3.3074,3.2697,3.1434,3.1141,1,1,1,3.0988,3.0967,1
